Freq.	V(i_sns)	V(v_sns)
1.90546071796326e+02	(-3.41460752261207e+01dB,-9.23521957675069e+01°)	(4.29013486157952e+00dB,-2.33886462841594e+00°)
1.99526231496889e+02	(-3.37467252036231e+01dB,-9.24629315400004e+01°)	(4.28948449281442e+00dB,-2.44897210310068e+00°)
2.08929613085405e+02	(-3.33474377991972e+01dB,-9.25788688554114e+01°)	(4.28877146850619e+00dB,-2.56425150904976e+00°)
2.18776162394956e+02	(-3.29482189212360e+01dB,-9.27002491644285e+01°)	(4.28798987665414e+00dB,-2.68494290142763e+00°)
2.29086765276778e+02	(-3.25490751697284e+01dB,-9.28273277419529e+01°)	(4.28713311331196e+00dB,-2.81130009384070e+00°)
2.39883291901950e+02	(-3.21500138981608e+01dB,-9.29603677942230e+01°)	(4.28619382065225e+00dB,-2.94358476236968e+00°)
2.51188643150959e+02	(-3.17510427836902e+01dB,-9.30996484188319e+01°)	(4.28516431675664e+00dB,-3.08207440232793e+00°)
2.63026799189540e+02	(-3.13521708199246e+01dB,-9.32454571274710e+01°)	(4.28403560279452e+00dB,-3.22705484761471e+00°)
2.75422870333818e+02	(-3.09534071995433e+01dB,-9.33980993594790e+01°)	(4.28279848035858e+00dB,-3.37882978069383e+00°)
2.88403150312662e+02	(-3.05547624603436e+01dB,-9.35578873679213e+01°)	(4.28144240536935e+00dB,-3.53770961494562e+00°)
3.01995172040203e+02	(-3.01562479739192e+01dB,-9.37251554050962e+01°)	(4.27995599934304e+00dB,-3.70402667627281e+00°)
3.16227766016840e+02	(-2.97578761274081e+01dB,-9.39002450406528e+01°)	(4.27832686758578e+00dB,-3.87812051713063e+00°)
3.31131121482593e+02	(-2.93596606647821e+01dB,-9.40835177615198e+01°)	(4.27654125783951e+00dB,-4.06035051216605e+00°)
3.46736850452534e+02	(-2.89616164946931e+01dB,-9.42753482417850e+01°)	(4.27458425236549e+00dB,-4.25108912360887e+00°)
3.63078054770103e+02	(-2.85637600185184e+01dB,-9.44761274964556e+01°)	(4.27243943982228e+00dB,-4.45072505035882e+00°)
3.80189396320563e+02	(-2.81661090141466e+01dB,-9.46862662212159e+01°)	(4.27008903139455e+00dB,-4.65966656280363e+00°)
3.98107170553500e+02	(-2.77686832385667e+01dB,-9.49061876772413e+01°)	(4.26751325811221e+00dB,-4.87833438249750e+00°)
4.16869383470338e+02	(-2.73715039973933e+01dB,-9.51363363835966e+01°)	(4.26469080122295e+00dB,-5.10717036914746e+00°)
4.36515832240169e+02	(-2.69745947111084e+01dB,-9.53771748850060e+01°)	(4.26159822583937e+00dB,-5.34663428277744e+00°)
4.57088189614878e+02	(-2.65779811319501e+01dB,-9.56291829338595e+01°)	(4.25820976392806e+00dB,-5.59720295976774e+00°)
4.78630092322641e+02	(-2.61816911760221e+01dB,-9.58928604595489e+01°)	(4.25449748206573e+00dB,-5.85937327605271e+00°)
